name,description,image_url,zone,type,serial_numbers,unit_count
RYOBI P322 ONE+ HP 18V 18-Gauge Brushless Cordless Airstrike Brad Nailer,"Shoots small, thin nails into wood. Good for attaching light-duty wood trim without needing a hammer. Zone: Woodshop",https://drive.google.com/thumbnail?id=1-vlmt99ZzILC2Gu3wln_-NSIDBl0dAVg&sz=w400,Woodshop,Tool,,1
RYOBI P593 18-Volt ONE+ Lithium Ion Cordless PVC and Pex Cutter,,,Woodshop,Tool,,1
RYOBI PCL235 ONE+ 18V Drill/ Driver,Good to drive long screws into tough material. Zone: Woodshop,https://drive.google.com/thumbnail?id=1-TBeSEGmhJHltB-MRXBvNuXFzOsx6lxG&sz=w400,Woodshop,Tool,,1
RYOBI Vacuum Cleaner P7131,,,Woodshop,Tool,,1
Round Nose Pliers,,,Woodshop,Tool,,1
Round Rasp,Useful to make holes bigger in wood or smooth/shape inside of curved cuts and circles.,https://drive.google.com/thumbnail?id=1TqskIpKB0fMVLnxdLGvljZoiIJObA1Uw&sz=w400,Woodshop,Tool,,1
Router Plane,,,Woodshop,Tool,,1
SKIL Detail Sander,Used to smooth out corners or small curved areas on wood as well as prepare pieces for painting/staining.,https://drive.google.com/thumbnail?id=19HnGPED3hgDs1b9ADx5nsI8rjCCVY9tF&sz=w400,Woodshop,Tool,,1
SKIL Detal Sander,,,Woodshop,Tool,,1
SPEAR & JACKSON Traditional Brass Back Tenon Saw 9550B,"Good for straight, fine, precise cuts in wood. Zone: Wood Shop 101A",https://drive.google.com/thumbnail?id=13j89lNVE2xCDjJxfTsaV3h2LMhuViu4A&sz=w400,Woodshop,Tool,,1
STANLEY 20-221 10-Inch 12 Points Per Inch SharpTooth Mini Utility Saw,,,Woodshop,Tool,,1
STANLEY 20-807 10-Inch Mini-Hack Light-Duty Utility Saw,,,Woodshop,Tool,,1
STANLEY Coping Saw,Good to cut very detailed curves and sharp angles in thin pieces of wood.,https://drive.google.com/thumbnail?id=1c_hl_Ltq9mPRUYVN7-oNtq5TFoIPZq7H&sz=w400,Woodshop,Tool,,1
STANLEY FATMAX Snips (FMHT73563),,,Woodshop,Tool,,1
"STANLEY Hand Planer, Contractor Grade, Low Angle",,,Woodshop,Tool,,1
STANLEY Heavy Duty Extreme Staple Gun TR150,,,Woodshop,Tool,,1
STANLEY Saw 15-206,,,Woodshop,Tool,,1
STANLEY SharpTooth Heavy Duty Saw 15-087,,,Woodshop,Tool,,1
Scraper/Spatula,"Used for spreading, smoothing, and scraping materials  like paint, wood filler, dried glue.",https://drive.google.com/thumbnail?id=1tCpTNqnici7JayaUHjMGn8tMPN7zV17j&sz=w400,Woodshop,Tool,,1
"Screwdrivers (HALMAI, IRONCUBE, KOBALT)",,,Woodshop,Tool,,1
Small Wrench,,,Woodshop,Tool,,1
Spokeshave,,,Woodshop,Tool,,1
Square Screwdrivers (Square shaped screws),Useful for a non-slip fit and excellent for one-handed use.,https://drive.google.com/thumbnail?id=1QieQ8RMnztUEt_ZIkbq0Zlu_RX_PUd3W&sz=w400,Woodshop,Tool,,1
Stanley 1-12-137 62-Low Angle Sweetheart Jack Plane,,,Woodshop,Tool,,1
"Traditional Brass Back Tenon Saw, 12"" x 15"",",,,Woodshop,Tool,,1
Triangular File,"Used to file and smooth out tight, V-shaped grooves and shart inside corners.",https://drive.google.com/thumbnail?id=1-fLVVfeZWCQtOpTBUoMAVO4MK86g7Pdt&sz=w400,Woodshop,Tool,,1
Utility Shears,"Useful for long, continous cuts in flexible materials",https://drive.google.com/thumbnail?id=1SKNpboz8qy531_Bu3B7dqdBi9_PQw1hN&sz=w400,Woodshop,Tool,,1
Woodworking Tools & Storage Bench,,,Woodshop,Tool,,1
Wrench - up to 30mm,Tighten or loosen nuts and bolts of different sizes. (numbers on head show millimeters),https://drive.google.com/thumbnail?id=183fL7RNLzp1hicqDPhO1Uym86rZA1fJf&sz=w400,Woodshop,Tool,,1
